Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance
200000101,Stewart,Lewis,Male,51,Scotland,Blue Collar,16.Mar.15,119014.87
200000102,Emma,Piper,Female,44,Scotland,White Collar,16.Mar.15,18829.79
200000103,Nicola,Powell,Female,55,Scotland,White Collar,16.Mar.15,35939.04
200000105,Stephen,Ross,Male,48,Scotland,White Collar,16.Mar.15,85108.08
200000107,Ian,Wilson,Male,36,Scotland,Blue Collar,16.Mar.15,12616.44
200000108,Piers,Quinn,Male,48,Scotland,Blue Collar,16.Mar.15,23910.87
200000110,Tim,Jones,Male,63,Scotland,Blue Collar,16.Mar.15,26474.23
300000112,Nathan,Paterson,Male,26,Wales,White Collar,16.Mar.15,20627.65
400000113,Tim,Hardacre,Male,29,Northern Ireland,White Collar,16.Mar.15,82229.52
400000115,Ruth,Oliver,Female,43,Northern Ireland,Blue Collar,16.Mar.15,37889.38
100000119,Vanessa,Lyman,Female,18,England,White Collar,31.Mar.15,33524.41
100000120,Andrea,Dickens,Female,31,England,White Collar,31.Mar.15,136370.38
100000121,Ian,Slater,Male,37,England,White Collar,31.Mar.15,39159.35
100000123,Harry,Short,Male,50,England,White Collar,31.Mar.15,43234.21
100000125,Jonathan,MacDonald,Male,27,England,White Collar,01.Apr.15,12312.49
100000126,Benjamin,Blake,Male,42,England,White Collar,01.Apr.15,55661.5
100000127,Emma,Fraser,Female,27,England,White Collar,01.Apr.15,10481.48
100000128,Virginia,Berry,Female,41,England,White Collar,01.Apr.15,4347.79
100000129,Peter,Pullman,Male,47,England,White Collar,01.Apr.15,15093.04
100000130,Alison,MacLeod,Female,27,England,White Collar,01.Apr.15,27738.77
100000131,Anna,Wright,Female,41,England,White Collar,01.Apr.15,27557.08
100000132,James,Marshall,Male,20,England,Blue Collar,01.Apr.15,9578.65
100000133,Ruth,Bower,Female,38,England,White Collar,02.Apr.15,40456.97
100000134,Owen,Powell,Male,34,England,Blue Collar,02.Apr.15,44744.24
100000135,Piers,King,Male,42,England,White Collar,02.Apr.15,56652.56
100000136,Christopher,Mackenzie,Male,26,England,White Collar,02.Apr.15,12994.18
100000137,Sarah,Wallace,Female,43,England,White Collar,02.Apr.15,42207.46
100000138,Richard,Hemmings,Male,37,England,White Collar,02.Apr.15,10704.25
100000139,Nicola,Rampling,Female,40,England,White Collar,02.Apr.15,57140.07
200000140,Keith,Harris,Male,57,Scotland,Blue Collar,02.Apr.15,40510.36
100000141,Angela,Wright,Female,45,England,White Collar,03.Apr.15,36584.21
100000142,Sam,Russell,Male,23,England,White Collar,03.Apr.15,10249.56
100000144,Sean,Bell,Male,26,England,White Collar,03.Apr.15,4539.24
100000145,Steven,Ball,Male,37,England,White Collar,04.Apr.15,89120.92
100000146,Andrew,Gray,Male,41,England,White Collar,05.Apr.15,51707.8
100000147,Jacob,Metcalfe,Male,33,England,White Collar,05.Apr.15,4940.82
100000148,Madeleine,Ogden,Female,37,England,White Collar,05.Apr.15,48405.93
100000149,Dylan,Davies,Male,33,England,White Collar,05.Apr.15,32467.1
100000150,Michelle,Lee,Female,29,England,White Collar,05.Apr.15,4020.51
100000151,Connor,Grant,Male,33,England,White Collar,05.Apr.15,5160.27
100000152,Justin,Metcalfe,Male,32,England,White Collar,05.Apr.15,51576.88
100000153,Elizabeth,Oliver,Female,36,England,White Collar,05.Apr.15,57019.91
100000154,Kevin,Powell,Male,46,England,White Collar,05.Apr.15,57365.32
100000155,Tim,Arnold,Male,33,England,Blue Collar,05.Apr.15,1455.6
100000157,Anthony,Cornish,Male,32,England,White Collar,05.Apr.15,24927.39
100000158,Michael,Powell,Male,26,England,White Collar,05.Apr.15,1009.69
100000159,Lucas,Lawrence,Male,30,England,White Collar,05.Apr.15,21871.43
100000160,Alexander,Walker,Male,38,England,White Collar,05.Apr.15,7602.94
100000161,Diana,Powell,Female,42,England,White Collar,05.Apr.15,2337
100000163,Amanda,Morgan,Female,39,England,White Collar,05.Apr.15,4120.66
200000165,Paul,Harris,Male,52,Scotland,Blue Collar,05.Apr.15,4371.98
200000166,William,Mitchell,Male,51,Scotland,Blue Collar,05.Apr.15,10229.63
300000167,Cameron,Ross,Male,24,Wales,Blue Collar,05.Apr.15,19064.65
300000168,Pippa,Wilson,Female,30,Wales,White Collar,05.Apr.15,30846.82
100000169,Blake,Mills,Male,39,England,Blue Collar,06.Apr.15,71396.66
100000171,John,Hughes,Male,38,England,White Collar,06.Apr.15,13181.22
100000172,Nicholas,Greene,Male,42,England,Blue Collar,06.Apr.15,62923.29
100000173,Hannah,Thomson,Female,26,England,White Collar,06.Apr.15,93353.93
100000174,Penelope,Glover,Female,31,England,White Collar,06.Apr.15,46078.71
100000175,Max,Stewart,Male,31,England,White Collar,06.Apr.15,15986.62
100000176,Wendy,Gill,Female,25,England,White Collar,06.Apr.15,27384.85
100000177,Thomas,Bailey,Male,35,England,White Collar,06.Apr.15,70349.32
100000178,Dan,Piper,Male,33,England,Blue Collar,06.Apr.15,60748.04
100000179,Dan,Metcalfe,Male,24,England,Blue Collar,06.Apr.15,52862.29
400000180,Eric,Bower,Male,29,Northern Ireland,Blue Collar,06.Apr.15,20516.51
100000181,Mary,Watson,Female,32,England,White Collar,07.Apr.15,99806.54
100000182,Austin,Ball,Male,36,England,White Collar,07.Apr.15,21236.23
100000183,Christian,Piper,Male,31,England,White Collar,07.Apr.15,115312.87
100000187,Emma,Parr,Female,46,England,White Collar,08.Apr.15,40685.39
100000188,Pippa,Mathis,Female,29,England,White Collar,08.Apr.15,22659.88
100000189,Wendy,Morrison,Female,40,England,White Collar,08.Apr.15,9431.04
200000191,Jason,Fisher,Male,51,Scotland,Blue Collar,08.Apr.15,1239.6
100000192,Oliver,Blake,Male,39,England,White Collar,09.Apr.15,48396.17
100000194,James,McGrath,Male,40,England,White Collar,10.Apr.15,29331.41
100000195,Amanda,Young,Female,35,England,White Collar,10.Apr.15,16390.11
100000196,Jennifer,Slater,Female,32,England,White Collar,10.Apr.15,87203.66
100000197,Blake,Ross,Male,38,England,Blue Collar,11.Apr.15,3141.6
100000198,Tim,North,Male,29,England,White Collar,11.Apr.15,2299.26
100000199,Jasmine,Terry,Female,31,England,Blue Collar,11.Apr.15,44162.06
100000200,Karen,Mackenzie,Female,47,England,White Collar,11.Apr.15,90868.86
